# MKO consortium nbM' cold convolved with atmosphere
# wavel um   % transmission
#
  4.450200   0.002216
  4.451600   0.005852
  4.453000   0.002728
  4.454401  -0.028125
  4.455801  -0.029541
  4.457200  -0.012790
  4.458600   0.008008
  4.460000   0.032365
  4.461400   0.048435
  4.462800   0.040622
  4.464100   0.037261
  4.465500   0.031659
  4.466900   0.023850
  4.468300   0.026796
  4.469700   0.006156
  4.471100  -0.021700
  4.472500   0.016924
  4.473900   0.040524
  4.475300   0.063424
  4.476700   0.091568
  4.478100   0.083173
  4.479600   0.066050
  4.481000   0.037201
  4.482400   0.012490
  4.483800   0.035173
  4.485200   0.100381
  4.486600   0.177420
  4.488000   0.214944
  4.489400   0.232942
  4.490800   0.249277
  4.492200   0.254236
  4.493600   0.277730
  4.495100   0.330881
  4.496500   0.327872
  4.497900   0.311056
  4.499300   0.301651
  4.500700   0.345932
  4.502100   0.317167
  4.503600   0.249223
  4.505000   0.164470
  4.506400   0.165984
  4.507800   0.221483
  4.509300   0.320252
  4.510700   0.419037
  4.512100   0.482804
  4.513500   0.528322
  4.515000   0.662528
  4.516400   0.632138
  4.517800   0.578085
  4.519200   0.558488
  4.520700   0.581350
  4.522100   0.681752
  4.523500   0.869976
  4.525000   1.022818
  4.526400   1.052477
  4.527800   1.025044
  4.529300   1.133901
  4.530700   1.317154
  4.532100   1.519922
  4.533600   1.697916
  4.535000   2.080350
  4.536500   2.452591
  4.537900   2.804500
  4.539300   3.238055
  4.540800   3.913109
  4.542200   4.623235
  4.543700   5.360626
  4.545100   5.811512
  4.546600   6.371557
  4.548000   7.192719
  4.549500   8.168580
  4.550900   9.228637
  4.552400  10.426372
  4.553800  11.923880
  4.555300  13.713303
  4.556700  15.641016
  4.558200  17.720476
  4.559600  20.268751
  4.561100  23.279497
  4.562500  26.189285
  4.564000  28.442810
  4.565500  30.039520
  4.566900  32.276787
  4.568400  35.204716
  4.569800  37.945553
  4.571300  40.480541
  4.572800  43.348587
  4.574200  47.633480
  4.575700  51.831360
  4.577200  54.941116
  4.578600  56.607712
  4.580100  58.296211
  4.581600  60.830513
  4.583000  64.375191
  4.584500  66.356293
  4.586000  67.162773
  4.587500  67.622597
  4.588900  70.040199
  4.590400  72.509087
  4.591900  73.651031
  4.593400  72.613297
  4.594800  71.737999
  4.596300  72.146400
  4.597800  73.974976
  4.599300  74.396965
  4.600800  73.573296
  4.602200  72.615814
  4.603700  74.364265
  4.605200  76.252968
  4.606700  77.075935
  4.608200  75.775742
  4.609700  74.578163
  4.611200  75.237434
  4.612600  77.163689
  4.614100  77.462303
  4.615600  76.448486
  4.617100  75.352104
  4.618600  77.009682
  4.620100  78.844345
  4.621600  79.080063
  4.623100  76.476357
  4.624600  74.242966
  4.626100  75.124214
  4.627600  78.490120
  4.629100  81.638237
  4.630600  81.579079
  4.632100  80.016556
  4.633600  78.258011
  4.635100  79.173576
  4.636600  80.407860
  4.638100  80.957657
  4.639600  79.848442
  4.641100  79.480370
  4.642600  80.184479
  4.644100  81.041580
  4.645700  80.826530
  4.647200  80.471344
  4.648700  79.963562
  4.650200  81.289215
  4.651700  83.142685
  4.653200  84.099014
  4.654700  82.756271
  4.656300  81.182785
  4.657800  79.762947
  4.659300  79.757797
  4.660800  80.247284
  4.662300  81.243614
  4.663899  82.852844
  4.665400  83.913429
  4.666900  84.149925
  4.668400  83.966133
  4.670000  83.111801
  4.671500  81.607071
  4.673000  79.088493
  4.674500  77.427750
  4.676100  76.927185
  4.677600  76.338875
  4.679100  74.214180
  4.680700  72.498024
  4.682199  72.838776
  4.683700  76.165207
  4.685300  79.379196
  4.686800  79.906975
  4.688400  78.784363
  4.689899  76.421341
  4.691400  75.147270
  4.693000  74.235062
  4.694500  73.546867
  4.696100  71.015884
  4.697600  68.337898
  4.699100  66.242310
  4.700700  66.688293
  4.702199  66.860367
  4.703800  66.445694
  4.705300  63.363102
  4.706900  60.787029
  4.708400  59.293266
  4.710000  60.810505
  4.711600  62.329979
  4.713100  62.710075
  4.714700  61.518467
  4.716200  60.450520
  4.717800  60.850891
  4.719300  62.408424
  4.720900  65.352425
  4.722500  66.632637
  4.724000  66.522034
  4.725600  63.324867
  4.727100  62.800034
  4.728700  65.458626
  4.730300  71.707573
  4.731800  75.401962
  4.733400  77.001205
  4.735000  75.996368
  4.736600  75.027138
  4.738100  73.858406
  4.739700  72.053902
  4.741300  70.331696
  4.742800  68.828659
  4.744400  67.180344
  4.746000  65.617790
  4.747600  67.301613
  4.749100  69.732811
  4.750700  72.698204
  4.752300  72.151947
  4.753900  70.830055
  4.755500  69.758583
  4.757100  70.438309
  4.758600  70.550392
  4.760200  69.718330
  4.761800  67.735786
  4.763400  67.090469
  4.765000  67.188072
  4.766600  68.027031
  4.768199  67.830696
  4.769800  67.041580
  4.771400  65.810051
  4.773000  63.632805
  4.774600  61.584778
  4.776100  60.507984
  4.777700  60.814430
  4.779300  61.203892
  4.780900  59.258476
  4.782500  54.804340
  4.784100  50.842953
  4.785700  51.083374
  4.787400  53.392323
  4.789000  54.116650
  4.790600  51.922276
  4.792200  49.776321
  4.793800  48.789104
  4.795400  48.585079
  4.797000  48.145859
  4.798600  46.796680
  4.800200  44.260525
  4.801800  41.289326
  4.803500  38.551170
  4.805100  37.164776
  4.806700  35.042229
  4.808300  31.135576
  4.809900  24.346369
  4.811501  17.082815
  4.813200  13.718333
  4.814801  14.219540
  4.816401  18.740423
  4.818000  20.486849
  4.819700  20.395134
  4.821300  18.409950
  4.822900  17.401785
  4.824501  16.425140
  4.826200  15.227877
  4.827800  14.070704
  4.829400  13.178047
  4.831100  12.237919
  4.832700  11.002215
  4.834301   9.965968
  4.836000   9.189185
  4.837600   7.989675
  4.839300   6.376669
  4.840900   5.291489
  4.842500   4.480171
  4.844200   4.534636
  4.845800   4.697395
  4.847500   4.739057
  4.849100   4.091694
  4.850801   3.183503
  4.852400   2.946855
  4.854101   2.787677
  4.855700   2.730763
  4.857400   2.432577
  4.859000   2.377954
  4.860700   2.374158
  4.862300   2.407489
  4.864000   2.333336
  4.865600   2.200676
  4.867300   2.105039
  4.869000   1.844010
  4.870600   1.735117
  4.872300   1.621028
  4.873900   1.533803
  4.875600   1.331451
  4.877300   1.221167
  4.878900   1.198611
  4.880600   0.927251
  4.882300   0.832235
  4.883900   0.842775
  4.885600   0.802833
  4.887300   0.767119
  4.889000   0.700883
  4.890600   0.599294
  4.892300   0.479195
  4.894001   0.464421
  4.895700   0.522775
  4.897300   0.443706
  4.899000   0.438449
  4.900700   0.483288
  4.902400   0.285508
  4.904100   0.263430
  4.905700   0.234228
  4.907400   0.064749
  4.909100   0.071187
  4.910800   0.171630
  4.912500   0.353796
  4.914200   0.379818
  4.915900   0.356008
  4.917600   0.343728
  4.919300   0.512708
  4.921000   0.553029
  4.922700   0.550158
  4.924400   0.559566
  4.926000   0.426007
  4.927700   0.215172
  4.929500  -0.048798
  4.931200   0.079587
  4.932900  -0.135419
  4.934600  -0.514969
  4.936300  -0.671605
  4.938000  -0.449106
  4.939700  -0.145085
  4.941400  -0.079451
  4.943100   0.059830
  4.944800   0.148242
  4.946500   0.170427
  4.948200   0.432502
  4.950000   0.636764
  4.951700   0.690491
  4.953400   0.405739
  4.955101   0.218950
  4.956800   0.159229
  4.958500   0.250922
  4.960300   0.108776
  4.962000  -0.101800
  4.963700  -0.261999
  4.965400   0.010358
  4.967200   0.044694
  4.968900  -0.077687
  4.970600  -0.154014
  4.972400  -0.334852
  4.974101  -0.403585
  4.975801  -0.196790
  4.977600   0.126356
  4.979300   0.325615
  4.981000   0.400201
  4.982800   0.461685
  4.984500   0.337244
  4.986200   0.083102
  4.988000  -0.121753
  4.989700  -0.104737
  4.991500   0.037179
  4.993200   0.282368
  4.995000   0.061423
  4.996700   0.045499
  4.998500   0.308767
  5.000200   0.088363
  5.002000  -0.091615
  5.003700  -0.193471
  5.005500  -0.052027
  5.007200  -0.027990
  5.009000   0.055361
  5.010700   0.306322
  5.012500   0.390849
  5.014200   0.234788
  5.016000  -0.027538
  5.017800   0.001855
  5.019500  -0.033473
  5.021300  -0.150044
  5.023100  -0.032235
  5.024800   0.118716
  5.026600   0.250355
  5.028400   0.315874
  5.030100   0.124798
  5.031900  -0.024915
  5.033700  -0.147063
  5.035501  -0.136509
  5.037200  -0.028257
  5.039000   0.159165
  5.040800   0.452556
  5.042600   0.476752
  5.044400   0.421620
  5.046100   0.340886
  5.047900   0.111645
  5.049700  -0.028035
