;  Table crwfpc2comp$wfpc2_f814w_004.tab  Thu 08:19:11 15-May-97
; WAVELENGTH   THROUGHPUT        error
;  ANGSTROMS TRANSMISSION TRANSMISSION
      3290.0    1.1742E-6           0.
      3300.0    3.0384E-7           0.
      3310.0    4.0050E-7           0.
      3320.0    4.6882E-7           0.
      3330.0    1.3337E-6           0.
      3340.0    6.5581E-7           0.
      3350.0    8.1071E-7           0.
      3360.0    3.0384E-7           0.
      3370.0    2.9221E-6           0.
      3380.0    3.7446E-7           0.
      3390.0    3.5284E-7           0.
      3400.0    3.4487E-7           0.
      3410.0    4.1530E-6           0.
      3420.0    2.1630E-6           0.
      3430.0    4.7238E-7           0.
      3440.0    4.2885E-7           0.
      3450.0    4.5614E-7           0.
      3460.0    2.1957E-6           0.
      3470.0    3.3439E-7           0.
      3480.0    2.3753E-6           0.
      3490.0    1.2991E-6           0.
      3500.0    5.3157E-6           0.
      3510.0    5.6357E-6           0.
      3520.0    3.0509E-7           0.
      3530.0    4.9544E-7           0.
      3540.0    1.3385E-6           0.
      3550.0    6.3621E-7           0.
      3560.0    5.0149E-7           0.
      3570.0    6.0402E-7           0.
      3580.0    1.6479E-6           0.
      3590.0    2.8049E-6           0.
      3600.0    5.8269E-7           0.
      3610.0    3.1960E-7           0.
      3620.0    3.7927E-6           0.
      3630.0    2.4503E-6           0.
      3640.0    3.0384E-7           0.
      3650.0    3.3065E-7           0.
      3660.0    8.7336E-7           0.
      3670.0    3.8273E-7           0.
      3680.0    2.4916E-6           0.
      3690.0    2.4686E-6           0.
      3700.0    9.2784E-7           0.
      3710.0    1.9381E-6           0.
      3720.0    7.4316E-7           0.
      3730.0    5.6222E-7           0.
      3740.0    5.9230E-7           0.
      3750.0    1.4644E-6           0.
      3760.0    3.0835E-7           0.
      3770.0    3.0384E-7           0.
      3780.0    6.1651E-7           0.
      3790.0    3.4612E-7           0.
      3800.0    5.6683E-7           0.
      3810.0    3.6130E-7           0.
      3820.0    2.3187E-6           0.
      3830.0    7.0972E-7           0.
      3840.0    3.0384E-7           0.
      3850.0    3.0384E-7           0.
      3860.0    3.9157E-7           0.
      3870.0    3.5880E-7           0.
      3880.0    5.9518E-7           0.
      3890.0    3.1844E-7           0.
      3900.0    2.7703E-6           0.
      3910.0    9.2035E-7           0.
      3920.0    3.7350E-7           0.
      3930.0    3.0384E-7           0.
      3940.0    6.6235E-7           0.
      3950.0    3.4343E-7           0.
      3960.0    5.6011E-7           0.
      3970.0    3.0624E-7           0.
      3980.0    4.5037E-7           0.
      3990.0    3.0384E-7           0.
      4000.0    1.1492E-6           0.
      4010.0    3.7312E-7           0.
      4020.0    1.3001E-6           0.
      4030.0    5.3282E-7           0.
      4040.0    3.0384E-7           0.
      4050.0    3.0384E-7           0.
      4060.0    6.8608E-7           0.
      4070.0    4.8516E-7           0.
      4080.0    1.6893E-6           0.
      4090.0    1.1685E-6           0.
      4100.0    3.3824E-7           0.
      4110.0    3.0384E-7           0.
      4120.0    4.2664E-7           0.
      4130.0    6.3650E-7           0.
      4140.0    4.0050E-7           0.
      4150.0    3.0384E-7           0.
      4160.0    7.1097E-7           0.
      4170.0    3.0384E-7           0.
      4180.0    3.0384E-7           0.
      4190.0    3.9858E-7           0.
      4200.0    3.2546E-7           0.
      4210.0    4.0387E-7           0.
      4220.0    4.5624E-7           0.
      4230.0    5.2609E-7           0.
      4240.0    3.8388E-7           0.
      4250.0    5.7673E-7           0.
      4260.0    3.0384E-7           0.
      4270.0    3.0384E-7           0.
      4280.0    3.0384E-7           0.
      4290.0    3.0384E-7           0.
      4300.0    3.0384E-7           0.
      4310.0    3.0384E-7           0.
      4320.0    3.0384E-7           0.
      4330.0    3.0384E-7           0.
      4340.0    3.0384E-7           0.
      4350.0    3.0384E-7           0.
      4360.0    3.0384E-7           0.
      4370.0    3.0384E-7           0.
      4380.0    3.0384E-7           0.
      4390.0    6.2804E-7           0.
      4400.0    1.4423E-5           0.
      4410.0    2.8385E-5           0.
      4420.0    3.6399E-5           0.
      4430.0    4.3500E-5           0.
      4440.0    3.9416E-5           0.
      4450.0    2.8452E-5           0.
      4460.0    1.8094E-5           0.
      4470.0    7.2942E-6           0.
      4480.0    1.4913E-6           0.
      4490.0    3.3093E-7           0.
      4500.0    3.8292E-7           0.
      4510.0    3.0384E-7           0.
      4520.0    1.2761E-6           0.
      4530.0    1.5691E-6           0.
      4540.0    5.1014E-7           0.
      4550.0    8.0437E-7           0.
      4560.0    3.7542E-7           0.
      4570.0    3.0384E-7           0.
      4580.0    5.0630E-7           0.
      4590.0    3.5861E-7           0.
      4600.0    6.4842E-7           0.
      4610.0    7.0857E-7           0.
      4620.0    4.5595E-7           0.
      4630.0    8.0235E-7           0.
      4640.0    3.0384E-7           0.
      4650.0    3.0384E-7           0.
      4660.0    3.0384E-7           0.
      4670.0    3.0384E-7           0.
      4680.0    6.0200E-7           0.
      4690.0    3.0384E-7           0.
      4700.0    5.7952E-7           0.
      4710.0    6.2929E-7           0.
      4720.0    6.3592E-7           0.
      4730.0    5.8557E-7           0.
      4740.0    3.0384E-7           0.
      4750.0    3.0384E-7           0.
      4760.0    7.1741E-7           0.
      4770.0    3.0384E-7           0.
      4780.0    4.0752E-7           0.
      4790.0    3.0384E-7           0.
      4800.0    5.5588E-7           0.
      4810.0    3.0384E-7           0.
      4820.0    3.0384E-7           0.
      4830.0    3.0768E-7           0.
      4840.0    3.7379E-7           0.
      4850.0    3.0384E-7           0.
      4860.0    3.0384E-7           0.
      4870.0    3.6985E-7           0.
      4880.0    3.0384E-7           0.
      4890.0    4.6969E-7           0.
      4900.0    6.1872E-7           0.
      4910.0    6.2555E-7           0.
      4920.0    3.0384E-7           0.
      4930.0    7.1923E-7           0.
      4940.0    6.2949E-7           0.
      4950.0    3.2315E-7           0.
      4960.0    3.6101E-7           0.
      4970.0    5.8567E-7           0.
      4980.0    3.0874E-7           0.
      4990.0    5.8519E-7           0.
      5000.0    3.0384E-7           0.
      5010.0    3.5697E-7           0.
      5020.0    3.0701E-7           0.
      5030.0    9.6667E-7           0.
      5040.0    3.3228E-7           0.
      5050.0    3.0384E-7           0.
      5060.0    3.7158E-7           0.
      5070.0    4.5748E-7           0.
      5080.0    3.1863E-7           0.
      5090.0    3.8753E-7           0.
      5100.0    5.9115E-7           0.
      5110.0    5.3195E-7           0.
      5120.0    3.3074E-7           0.
      5130.0    3.0384E-7           0.
      5140.0    4.2280E-7           0.
      5150.0    1.2511E-6           0.
      5160.0    7.7727E-7           0.
      5170.0    3.1931E-7           0.
      5180.0    3.0384E-7           0.
      5190.0    3.0384E-7           0.
      5200.0    3.0384E-7           0.
      5210.0    3.0384E-7           0.
      5220.0    8.0533E-7           0.
      5230.0    5.5319E-7           0.
      5240.0    4.9630E-7           0.
      5250.0    4.6517E-7           0.
      5260.0    5.5896E-7           0.
      5270.0    4.3827E-7           0.
      5280.0    7.8813E-7           0.
      5290.0    3.0384E-7           0.
      5300.0    3.3910E-7           0.
      5310.0    4.2453E-7           0.
      5320.0    1.0781E-6           0.
      5330.0    6.7570E-7           0.
      5340.0    5.9653E-7           0.
      5350.0    3.7360E-7           0.
      5360.0    1.1685E-6           0.
      5370.0    6.7599E-7           0.
      5380.0    3.0384E-7           0.
      5390.0    3.0384E-7           0.
      5400.0    1.2617E-6           0.
      5410.0    3.0384E-7           0.
      5420.0    3.6620E-7           0.
      5430.0    9.1064E-7           0.
      5440.0    6.5562E-7           0.
      5450.0    5.1129E-7           0.
      5460.0    3.0970E-7           0.
      5470.0    3.0384E-7           0.
      5480.0    3.7706E-7           0.
      5490.0    3.0384E-7           0.
      5500.0    1.1454E-6           0.
      5510.0    1.4269E-6           0.
      5520.0    6.6273E-7           0.
      5530.0    3.0384E-7           0.
      5540.0    3.9724E-7           0.
      5550.0    3.0384E-7           0.
      5560.0    4.0733E-7           0.
      5570.0    6.9511E-7           0.
      5580.0    1.0695E-6           0.
      5590.0    5.8721E-7           0.
      5600.0    8.3377E-7           0.
      5610.0    3.8792E-7           0.
      5620.0    6.9963E-7           0.
      5630.0    3.9733E-7           0.
      5640.0    4.1549E-7           0.
      5650.0    4.6248E-7           0.
      5660.0    5.7606E-7           0.
      5670.0    9.3793E-7           0.
      5680.0    3.0384E-7           0.
      5690.0    3.0384E-7           0.
      5700.0    3.8119E-7           0.
      5710.0    7.2721E-7           0.
      5720.0    3.3660E-7           0.
      5730.0    3.0384E-7           0.
      5740.0    3.3218E-7           0.
      5750.0    3.0384E-7           0.
      5760.0    1.2953E-6           0.
      5770.0    3.0384E-7           0.
      5780.0    4.3183E-7           0.
      5790.0    3.1393E-7           0.
      5800.0    5.1677E-7           0.
      5810.0    5.0130E-7           0.
      5820.0    1.8334E-6           0.
      5830.0    9.7339E-7           0.
      5840.0    1.0272E-6           0.
      5850.0    3.0384E-7           0.
      5860.0    3.0384E-7           0.
      5870.0    8.4953E-7           0.
      5880.0    3.9483E-7           0.
      5890.0    6.2900E-7           0.
      5900.0    5.1293E-7           0.
      5910.0    5.2955E-7           0.
      5920.0    9.5648E-7           0.
      5930.0    5.5646E-7           0.
      5940.0    4.5921E-7           0.
      5950.0    3.0384E-7           0.
      5960.0    4.2597E-7           0.
      5970.0    8.6625E-7           0.
      5980.0    1.0205E-6           0.
      5990.0    3.0384E-7           0.
      6000.0    1.1829E-6           0.
      6010.0    1.4875E-6           0.
      6020.0    3.0384E-7           0.
      6030.0    3.0384E-7           0.
      6040.0    1.7152E-6           0.
      6050.0    1.2338E-6           0.
      6060.0    8.5616E-7           0.
      6070.0    3.4746E-7           0.
      6080.0    3.0384E-7           0.
      6090.0    4.7228E-7           0.
      6100.0    9.6282E-7           0.
      6110.0    1.1963E-6           0.
      6120.0    3.0384E-7           0.
      6130.0    7.2807E-7           0.
      6140.0    4.6796E-7           0.
      6150.0    8.9450E-7           0.
      6160.0    3.0384E-7           0.
      6170.0    3.0384E-7           0.
      6180.0    4.0752E-7           0.
      6190.0    1.0512E-6           0.
      6200.0    3.0547E-7           0.
      6210.0    3.0384E-7           0.
      6220.0    5.0245E-7           0.
      6230.0    2.1976E-6           0.
      6240.0    1.3789E-6           0.
      6250.0    5.0591E-7           0.
      6260.0    1.5759E-6           0.
      6270.0    6.3660E-7           0.
      6280.0    4.4643E-7           0.
      6290.0    3.0384E-7           0.
      6300.0    6.1171E-7           0.
      6310.0    3.1354E-7           0.
      6320.0    3.9599E-7           0.
      6330.0    2.0361E-6           0.
      6340.0    4.1751E-7           0.
      6350.0    1.2569E-6           0.
      6360.0    4.0954E-7           0.
      6370.0    3.6505E-7           0.
      6380.0    1.4961E-6           0.
      6390.0    1.9775E-6           0.
      6400.0    7.1654E-7           0.
      6410.0    3.6360E-7           0.
      6420.0    1.3914E-6           0.
      6430.0    4.1818E-7           0.
      6440.0    1.4548E-6           0.
      6450.0    4.6306E-7           0.
      6460.0    6.7234E-7           0.
      6470.0    7.4777E-7           0.
      6480.0    1.2146E-6           0.
      6490.0    7.7170E-7           0.
      6500.0    4.2356E-7           0.
      6510.0    5.6078E-7           0.
      6520.0    3.0384E-7           0.
      6530.0    5.7212E-7           0.
      6540.0    1.2184E-6           0.
      6550.0    1.1819E-6           0.
      6560.0    1.3895E-6           0.
      6570.0    3.4112E-7           0.
      6580.0    6.6417E-7           0.
      6590.0    7.6180E-7           0.
      6600.0    3.5467E-7           0.
      6610.0    5.6049E-7           0.
      6620.0    1.3443E-6           0.
      6630.0    9.5754E-7           0.
      6640.0    4.9044E-7           0.
      6650.0    4.4960E-7           0.
      6660.0    7.8265E-7           0.
      6670.0    7.2827E-7           0.
      6680.0    4.6017E-7           0.
      6690.0    4.5268E-7           0.
      6700.0    1.0262E-6           0.
      6710.0    6.9031E-7           0.
      6720.0    1.6441E-6           0.
      6730.0    1.3529E-6           0.
      6740.0    4.0665E-6           0.
      6750.0    7.1837E-6           0.
      6760.0    9.4601E-6           0.
      6770.0    1.4442E-5           0.
      6780.0    2.1332E-5           0.
      6790.0    3.1373E-5           0.
      6800.0    4.9832E-5           0.
      6810.0    7.6132E-5           0.
      6820.0    1.1809E-4           0.
      6830.0    1.7892E-4           0.
      6840.0    2.7972E-4           0.
      6850.0    4.0915E-4           0.
      6860.0    6.3016E-4           0.
      6870.0    9.0565E-4           0.
      6880.0    0.0013606           0.
      6890.0    0.0018718           0.
      6920.0    0.0036831           0.
      6922.0     0.003932           0.
      6924.0    0.0042414           0.
      6926.0    0.0045489           0.
      6928.0    0.0048939           0.
      6930.0    0.0052196           0.
      6932.0    0.0055838           0.
      6934.0    0.0060056           0.
      6936.0    0.0064275           0.
      6938.0    0.0068685           0.
      6940.0     0.007349           0.
      6942.0    0.0078861           0.
      6944.0     0.008405           0.
      6946.0    0.0089786           0.
      6948.0     0.009609           0.
      6950.0     0.010243           0.
      6952.0     0.010973           0.
      6954.0     0.011704           0.
      6956.0     0.012472           0.
      6958.0     0.013328           0.
      6960.0     0.014212           0.
      6962.0     0.015153           0.
      6964.0      0.01621           0.
      6966.0     0.017277           0.
      6968.0     0.018468           0.
      6970.0      0.01966           0.
      6972.0     0.020967           0.
      6974.0     0.022322           0.
      6976.0     0.023801           0.
      6978.0     0.025358           0.
      6980.0      0.02704           0.
      6982.0     0.028817           0.
      6984.0     0.030701           0.
      6986.0     0.032738           0.
      6988.0     0.034842           0.
      6990.0     0.037072           0.
      6992.0     0.039483           0.
      6994.0     0.041991           0.
      6996.0     0.044663           0.
      6998.0     0.047478           0.
      7000.0     0.050543           0.
      7002.0      0.05382           0.
      7004.0     0.057289           0.
      7006.0     0.060969           0.
