#wlfinal    tfinal
#
  1.4000   0.0001
  1.4007   0.0002
  1.4014   0.0003
  1.4021   0.0003
  1.4028   0.0003
  1.4035   0.0005
  1.4042   0.0005
  1.4049   0.0006
  1.4056   0.0007
  1.4063   0.0007
  1.4070   0.0007
  1.4077   0.0008
  1.4084   0.0007
  1.4091   0.0007
  1.4098   0.0008
  1.4105   0.0009
  1.4112   0.0011
  1.4119   0.0012
  1.4126   0.0013
  1.4133   0.0013
  1.4140   0.0014
  1.4147   0.0015
  1.4154   0.0016
  1.4161   0.0017
  1.4168   0.0018
  1.4175   0.0020
  1.4182   0.0022
  1.4189   0.0023
  1.4196   0.0024
  1.4203   0.0026
  1.4210   0.0027
  1.4217   0.0028
  1.4224   0.0030
  1.4231   0.0032
  1.4238   0.0033
  1.4245   0.0035
  1.4252   0.0036
  1.4259   0.0037
  1.4266   0.0039
  1.4273   0.0041
  1.4280   0.0043
  1.4287   0.0045
  1.4294   0.0048
  1.4301   0.0050
  1.4308   0.0052
  1.4315   0.0054
  1.4322   0.0056
  1.4329   0.0060
  1.4336   0.0064
  1.4343   0.0067
  1.4350   0.0069
  1.4357   0.0073
  1.4364   0.0074
  1.4371   0.0075
  1.4378   0.0079
  1.4385   0.0086
  1.4392   0.0095
  1.4399   0.0105
  1.4406   0.0101
  1.4413   0.0108
  1.4420   0.0114
  1.4427   0.0120
  1.4434   0.0125
  1.4441   0.0129
  1.4448   0.0134
  1.4455   0.0140
  1.4462   0.0147
  1.4469   0.0155
  1.4476   0.0164
  1.4483   0.0173
  1.4490   0.0185
  1.4497   0.0198
  1.4504   0.0211
  1.4511   0.0224
  1.4518   0.0236
  1.4525   0.0252
  1.4532   0.0270
  1.4539   0.0290
  1.4546   0.0313
  1.4553   0.0340
  1.4560   0.0368
  1.4567   0.0397
  1.4574   0.0429
  1.4581   0.0464
  1.4588   0.0503
  1.4595   0.0545
  1.4602   0.0590
  1.4609   0.0641
  1.4616   0.0696
  1.4623   0.0756
  1.4630   0.0822
  1.4637   0.0893
  1.4644   0.0970
  1.4651   0.1052
  1.4658   0.1140
  1.4665   0.1235
  1.4672   0.1335
  1.4679   0.1442
  1.4686   0.1554
  1.4693   0.1673
  1.4700   0.1796
  1.4707   0.1926
  1.4714   0.2060
  1.4721   0.2198
  1.4728   0.2342
  1.4735   0.2488
  1.4742   0.2639
  1.4749   0.2791
  1.4756   0.2947
  1.4763   0.3105
  1.4770   0.3267
  1.4777   0.3429
  1.4784   0.3593
  1.4791   0.3760
  1.4798   0.3926
  1.4805   0.4096
  1.4812   0.4266
  1.4819   0.4434
  1.4826   0.4604
  1.4833   0.4772
  1.4840   0.4941
  1.4847   0.5109
  1.4854   0.5278
  1.4861   0.5444
  1.4868   0.5609
  1.4875   0.5771
  1.4882   0.5931
  1.4889   0.6087
  1.4896   0.6238
  1.4903   0.6387
  1.4910   0.6529
  1.4917   0.6667
  1.4924   0.6800
  1.4931   0.6927
  1.4938   0.7047
  1.4945   0.7162
  1.4952   0.7269
  1.4959   0.7369
  1.4966   0.7462
  1.4973   0.7548
  1.4980   0.7628
  1.4987   0.7702
  1.4994   0.7769
  1.5001   0.7830
  1.5008   0.7886
  1.5015   0.7937
  1.5022   0.7983
  1.5029   0.8025
  1.5036   0.8064
