;  Table pcf850lpsys.tab  Mon 12:21:20 02-Jun-97
;      WAVELENGTH      THROUGHPUT
;       angstroms                
         8031.913     9.732935E-5
         8033.245     9.821414E-5
         8034.573     9.909413E-5
           8035.9     9.997222E-5
         8037.233     1.008516E-4
          8038.57     1.017320E-4
         8039.898     1.026046E-4
         8041.227     1.034761E-4
          8042.56     1.043482E-4
         8043.889     1.052158E-4
         8045.228     1.060875E-4
         8046.561     1.069542E-4
         8047.887     1.078139E-4
         8049.221     1.086773E-4
         8050.556     1.095389E-4
         8051.891     1.103989E-4
         8053.226     1.112571E-4
         8054.556     1.121104E-4
         8055.887     1.129622E-4
         8057.223     1.138152E-4
         8058.563     1.146691E-4
         8059.895     1.155154E-4
         8061.227     1.163603E-4
         8062.563     1.172060E-4
         8063.896     1.180474E-4
         8065.238     1.188927E-4
         8066.575     1.197330E-4
         8067.903     1.205662E-4
         8069.241     1.214033E-4
         8070.579     1.222386E-4
         8071.913     1.230692E-4
         8073.255     1.239038E-4
         8074.585     1.247285E-4
         8075.924     1.255568E-4
         8077.263     1.263831E-4
         8078.598     1.272052E-4
         8079.942     1.280308E-4
         8081.277     1.288494E-4
         8082.613     1.296662E-4
         8083.953     1.304837E-4
         8085.293     1.312997E-4
         8086.634     1.321141E-4
          8087.97     1.329239E-4
         8089.311     1.337344E-4
         8090.648     1.345408E-4
         8091.989     1.353479E-4
         8093.331     1.361534E-4
         8094.668     1.369545E-4
         8096.011     1.377565E-4
         8097.353     1.385567E-4
         8098.691     1.393526E-4
         8100.034     1.401492E-4
         8101.377     1.409441E-4
         8102.716     1.417348E-4
          8104.06     1.425264E-4
         8105.398     1.433133E-4
         8106.743     1.441014E-4
         8108.086     1.448874E-4
         8109.431     1.456721E-4
         8110.771     1.464521E-4
         8112.116     1.472331E-4
         8113.457     1.480099E-4
         8114.802     1.487874E-4
         8116.147     1.495633E-4
         8117.488     1.503344E-4
         8118.834     1.511069E-4
         8120.181     1.518774E-4
         8121.522     1.526436E-4
         8122.869     1.534107E-4
         8124.216     1.541760E-4
         8125.559     1.549371E-4
         8126.906     1.556989E-4
         8128.253     1.564591E-4
         8129.597     1.572149E-4
         8130.944     1.579713E-4
         8132.292     1.587262E-4
         8133.636     1.594768E-4
         8134.985     1.602282E-4
          8136.33     1.609756E-4
         8137.679     1.617235E-4
         8139.028     1.624695E-4
         8140.377     1.632141E-4
         8141.723     1.639543E-4
         8143.072     1.646951E-4
         8144.418     1.654319E-4
         8145.769     1.661695E-4
         8147.119     1.669053E-4
         8148.465     1.676368E-4
         8149.816     1.683691E-4
         8151.168     1.690998E-4
         8152.515     1.698260E-4
         8153.867     1.705533E-4
         8155.219     1.712787E-4
         8156.566     1.720000E-4
         8157.918     1.727216E-4
         8159.271     1.734420E-4
          8160.62     1.741579E-4
         8161.973     1.748746E-4
         8163.326     1.755897E-4
         8164.675     1.763007E-4
         8166.029     1.770121E-4
         8167.378     1.777196E-4
         8168.732     1.784275E-4
         8170.087     1.791339E-4
         8171.441     1.798384E-4
         8172.792     1.805392E-4
         8174.147     1.812403E-4
         8175.498     1.819375E-4
         8176.854     1.826352E-4
         8178.209     1.833310E-4
         8179.565     1.840253E-4
         8180.917     1.847157E-4
         8182.273     1.854065E-4
         8183.625     1.860933E-4
         8184.982     1.867807E-4
         8186.339     1.874663E-4
         8187.697     1.881503E-4
          8189.05     1.888301E-4
         8190.408     1.895107E-4
         8191.761     1.901872E-4
         8193.119     1.908641E-4
         8194.478     1.915395E-4
         8195.827     1.922085E-4
         8197.191     1.928831E-4
          8198.55     1.935529E-4
         8199.905     1.942194E-4
         8201.265     1.948861E-4
          8202.62     1.955490E-4
         8203.979     1.962120E-4
          8205.34     1.968736E-4
         8206.701     1.975339E-4
         8208.057     1.981895E-4
         8209.413     1.988437E-4
         8210.779     1.995009E-4
         8212.136     2.001516E-4
         8213.497     2.008028E-4
         8214.859     2.014526E-4
         8216.213     2.020965E-4
         8217.575     2.027427E-4
         8218.941     2.033888E-4
           8220.3     2.040295E-4
         8221.663     2.046707E-4
         8223.018     2.053060E-4
         8224.381     2.059436E-4
         8225.749     2.065816E-4
         8227.112     2.072155E-4
         8228.472     2.078458E-4
         8229.832     2.084747E-4
         8231.196     2.091037E-4
         8232.562     2.097313E-4
         8233.927     2.103571E-4
         8235.292     2.109811E-4
         8236.647     2.115988E-4
         8238.014     2.122196E-4
          8239.38     2.128386E-4
         8240.746     2.134558E-4
         8242.112     2.140712E-4
          8243.47     2.146808E-4
         8244.836     2.152926E-4
         8246.203     2.159030E-4
          8247.57     2.165116E-4
         8248.938     2.171188E-4
         8250.297     2.177199E-4
         8251.665     2.183236E-4
         8253.037     2.189271E-4
         8254.401     2.195255E-4
          8255.77     2.201238E-4
         8257.135     2.207189E-4
         8258.499     2.213118E-4
         8259.873     2.219072E-4
         8261.242     2.224987E-4
         8262.607     2.230868E-4
         8263.973     2.236730E-4
         8265.343     2.242595E-4
         8266.718     2.248463E-4
         8268.084     2.254276E-4
          8269.45     2.260070E-4
         8270.817     2.265852E-4
         8272.188     2.271633E-4
         8273.564     2.277415E-4
         8274.932     2.283144E-4
           8276.3     2.288858E-4
         8277.672     2.294570E-4
         8279.044     2.300265E-4
         8280.417     2.305946E-4
          8281.79     2.311609E-4
         8283.153     2.317215E-4
         8284.527     2.322847E-4
           8285.9     2.328456E-4
         8287.274     2.334053E-4
         8288.648     2.339630E-4
         8290.014     2.345154E-4
         8291.389     2.350702E-4
         8292.764     2.356231E-4
         8294.139     2.361742E-4
         8295.514     2.367235E-4
         8296.885     2.372695E-4
         8298.256     2.378137E-4
         8299.631     2.383577E-4
         8301.012     2.389022E-4
         8302.384     2.394416E-4
         8303.756     2.399792E-4
         8305.133     2.405169E-4
         8306.505     2.410509E-4
         8307.887     2.415870E-4
         8309.265     2.421197E-4
         8310.638     2.662353E-4
         8312.011     3.174609E-4
         8313.389     3.687479E-4
         8314.768     4.199502E-4
         8316.146     4.710314E-4
         8317.521     5.218112E-4
         8318.895     5.724713E-4
         8320.274     6.237551E-4
         8321.658     6.771936E-4
         8323.029     7.300156E-4
         8324.409     7.830500E-4
         8325.789     8.359572E-4
         8327.165     8.885887E-4
         8328.551     9.414662E-4
         8329.927     9.938448E-4
         8331.304     0.001061537
         8332.685     0.001130124
         8334.066     0.001198595
         8335.443      0.00126666
         8336.825     0.001334801
         8338.203     0.001402584
         8339.586     0.001470444
         8340.969     0.001541191
         8342.352     0.001613069
          8343.73     0.001684569
         8345.113     0.001756097
         8346.493       0.0018273
         8347.877     0.001898529
         8349.261     0.001969583
         8350.646     0.002049542
         8352.025     0.002139412
         8353.405      0.00222919
          8354.79     0.002319194
         8356.176      0.00240917
         8357.562     0.002499053
         8358.942     0.002588528
         8360.328     0.002679081
         8361.715     0.002772362
         8363.097     0.002865218
         8364.483     0.002958306
          8365.87     0.003051296
         8367.252     0.003143862
          8368.64     0.003236724
         8370.022     0.003329569
          8371.41     0.003447421
         8372.799     0.003565233
         8374.187     0.003682837
          8375.57     0.003799988
         8376.959     0.003917425
         8378.344      0.00403441
         8379.732     0.004151599
         8381.122     0.004265191
         8382.512     0.004377814
         8383.897         0.00449
         8385.287     0.004602381
         8386.673     0.004714323
         8388.063     0.004826539
         8389.454     0.004938631
         8390.841     0.005069928
         8392.231     0.005214228
         8393.623     0.005358473
         8395.011     0.005502158
         8396.402     0.005646088
         8397.795     0.005789963
         8399.188     0.005933677
         8400.575     0.006074938
         8401.963     0.006213512
         8403.356     0.006352516
          8404.75     0.006491365
         8406.144     0.006630058
         8407.532     0.006768112
         8408.927     0.006906591
         8410.316     0.007048728
         8411.711     0.007205829
         8413.105     0.007362754
           8414.5       0.0075195
         8415.891     0.007675631
         8417.286     0.007832128
         8418.677     0.007987904
         8420.073     0.008144503
         8421.469      0.00830709
          8422.86     0.008469036
         8424.258     0.008631475
         8425.654     0.008793614
         8427.047     0.008955109
         8428.443     0.009116872
         8429.841     0.009278559
         8431.239     0.009453033
         8432.632     0.009628218
          8434.03     0.009803934
         8435.424     0.009978831
         8436.823      0.01015426
         8438.222      0.01032935
         8439.616      0.01050375
         8441.016      0.01067866
          8442.41       0.0108528
         8443.811      0.01102746
          8445.21      0.01120179
          8446.61      0.01137603
         8448.007      0.01154957
         8449.407      0.01172338
         8450.804      0.01190899
         8452.205      0.01210425
         8453.606      0.01229927
         8455.008      0.01249406
         8456.405      0.01268806
         8457.803      0.01288183
         8459.205      0.01307604
         8460.607      0.01326472
          8462.01      0.01344626
         8463.404      0.01362657
         8464.808      0.01380779
         8466.216       0.0139894
         8467.614      0.01416954
         8469.019      0.01435019
         8470.418       0.0145359
         8471.817      0.01473523
         8473.228      0.01493583
         8474.627      0.01513465
         8476.032      0.01533405
         8477.434      0.01553265
         8478.839      0.01573154
         8480.245      0.01592844
          8481.65      0.01611605
         8483.057      0.01630355
         8484.454      0.01648964
         8485.861      0.01667679
         8487.272       0.0168642
         8488.676      0.01705034
         8490.083      0.01723769
         8491.485      0.01743912
         8492.889      0.01764043
         8494.302      0.01784287
          8495.71      0.01804434
         8497.114      0.01824499
         8498.519      0.01844537
         8499.928      0.01864619
         8501.337      0.01882998
         8502.746      0.01901261
         8504.156      0.01919511
         8505.557      0.01937608
         8506.967      0.01955807
         8508.378      0.01973991
         8509.788      0.01992137
         8511.199      0.02011795
         8512.602      0.02031571
         8514.013      0.02051442
         8515.429      0.02071353
         8516.836      0.02091111
         8518.244      0.02110856
         8519.651      0.02130557
         8521.064      0.02148831
         8522.481      0.02166642
          8523.89      0.02184316
         8525.299      0.02201976
         8526.712      0.02219659
         8528.126      0.02237327
          8529.54      0.02254969
         8530.954      0.02273086
         8532.364      0.02291367
         8533.774      0.02309621
         8535.188      0.02327898
         8536.608      0.02346222
          8538.02      0.02364405
         8539.431      0.02382561
         8540.842      0.02399502
         8542.258       0.0241567
         8543.679      0.02431868
         8545.091       0.0244794
         8546.503      0.02463988
          8547.92      0.02480066
         8549.337      0.02496117
         8550.755      0.02512716
         8552.173       0.0252978
         8553.581        0.025467
         8554.999      0.02563711
         8556.418      0.02580706
         8557.837      0.02597673
         8559.256      0.02614614
          8560.67      0.02630632
         8562.085      0.02645707
         8563.504      0.02660799
         8564.924      0.02675875
         8566.345      0.02690937
          8567.76      0.02705911
         8569.176      0.02720872
         8570.597      0.02735858
         8572.022      0.02750871
         8573.438      0.02765755
         8574.855      0.02780624
         8576.277       0.0279552
         8577.694      0.02810339
         8579.122      0.02825244
         8580.539      0.02839151
         8581.957      0.02851642
         8583.381      0.02864161
         8584.804      0.02876649
         8586.231      0.02889158
         8587.646      0.02901524
         8589.069      0.02913953
         8590.494      0.02926718
         8591.913      0.02940064
         8593.343      0.02953486
         8594.758      0.02966746
         8596.184      0.02980084
         8597.608      0.02993387
         8599.034      0.03006675
          8600.46      0.03019351
         8601.876       0.0303069
         8603.303      0.03042094
         8604.729      0.03053476
         8606.156      0.03064836
         8607.583      0.03076174
         8609.005      0.03087451
         8610.428       0.0309891
         8611.855      0.03110848
         8613.283      0.03122762
         8614.712      0.03134661
         8616.136      0.03146495
         8617.563       0.0315834
         8618.988      0.03170137
         8620.417      0.03181506
         8621.847      0.03191801
         8623.276      0.03202076
         8624.701      0.03212294
         8626.126       0.0322249
         8627.557      0.03232707
         8628.992      0.03242938
         8630.418      0.03253124
         8631.849      0.03263433
         8633.275      0.03273693
         8634.702      0.03283931
         8636.134      0.03294183
         8637.565      0.03304412
         8638.998      0.03314627
         8640.426        0.033241
         8641.858       0.0333197
         8643.291      0.03339821
         8644.719      0.03347627
         8646.152      0.03355447
         8647.586      0.03363248
         8649.016      0.03371009
         8650.449      0.03379091
         8651.879      0.03387826
         8653.313      0.03396569
         8654.748      0.03405292
         8656.183      0.03413993
         8657.618       0.0342268
         8659.044      0.03431287
         8660.479      0.03439352
         8661.916      0.03446246
         8663.353      0.03453121
         8664.788      0.03459973
         8666.221      0.03466794
         8667.652      0.03473591
          8669.09      0.03480398
         8670.527      0.03487182
         8671.965      0.03493939
         8673.397      0.03500654
         8674.836      0.03507379
          8676.27      0.03514062
         8677.708       0.0352075
         8679.146      0.03527419
         8680.586      0.03533918
         8682.021      0.03540153
         8683.455      0.03546369
         8684.895      0.03552588
         8686.335      0.03558793
         8687.775      0.03564981
         8689.216       0.0357115
         8690.646      0.03576968
         8692.088      0.03582457
         8693.529      0.03587928
         8694.971      0.03593383
         8696.412       0.0359882
         8697.845      0.03604208
         8699.291      0.03609629
         8700.733      0.03614948
         8702.172       0.0362017
         8703.614      0.03625388
         8705.053      0.03630575
         8706.496      0.03635763
         8707.939      0.03640933
         8709.384      0.03646091
         8710.823      0.03650643
         8712.263      0.03654755
         8713.712      0.03658878
         8715.156      0.03662971
         8716.597      0.03667039
         8718.037      0.03671091
         8719.482      0.03675142
         8720.929       0.0367896
         8722.374      0.03682639
          8723.82      0.03686306
         8725.263      0.03689948
         8726.704      0.03693572
         8728.151      0.03697196
         8729.599      0.03700805
         8731.046      0.03704369
         8732.488      0.03707897
         8733.932       0.0371141
          8735.38      0.03714921
         8736.828      0.03718415
         8738.276      0.03721895
         8739.726      0.03725363
         8741.165      0.03727719
         8742.619       0.0372983
         8744.064      0.03731916
         8745.514      0.03733994
         8746.964      0.03736061
         8748.404      0.03738101
          8749.86      0.03740151
         8751.306      0.03743187
         8752.757      0.03746329
         8754.208      0.03749457
          8755.65      0.03752549
         8757.111      0.03755668
