# Vega spectrum from Kurucz models, resolution 500
# microns	erg/s/cm2/micron
0.105175	1.79196e+08
0.105280	1.81081e+08
0.105386	1.84223e+08
0.105491	1.86736e+08
0.105597	1.90632e+08
0.105703	1.95156e+08
0.105809	1.97920e+08
0.105915	1.97418e+08
0.106021	1.98297e+08
0.106127	2.02821e+08
0.106234	2.02067e+08
0.106340	2.00685e+08
0.106447	2.06591e+08
0.106554	2.08099e+08
0.106660	2.05837e+08
0.106767	2.05586e+08
0.106874	2.09858e+08
0.106981	2.19534e+08
0.107089	2.25943e+08
0.107196	2.28708e+08
0.107304	2.29839e+08
0.107411	2.33734e+08
0.107519	2.38384e+08
0.107627	2.43159e+08
0.107734	2.49694e+08
0.107842	2.54720e+08
0.107951	2.59370e+08
0.108059	2.63391e+08
0.108167	2.64648e+08
0.108276	2.64522e+08
0.108384	2.59370e+08
0.108493	2.57359e+08
0.108602	2.68418e+08
0.108710	2.82743e+08
0.108819	2.88398e+08
0.108928	2.91414e+08
0.109038	2.92294e+08
0.109147	2.94933e+08
0.109256	3.02473e+08
0.109366	3.08881e+08
0.109476	3.08504e+08
0.109585	2.94933e+08
0.109695	2.81110e+08
0.109805	2.89906e+08
0.109915	3.04734e+08
0.110025	3.24715e+08
0.110136	3.55251e+08
0.110246	3.85536e+08
0.110357	4.13685e+08
0.110467	4.35676e+08
0.110578	4.66589e+08
0.110689	5.26028e+08
0.110800	6.87255e+08
0.110911	1.19330e+09
0.111022	2.34991e+09
0.111133	3.68195e+09
0.111245	5.21504e+09
0.111356	5.94515e+09
0.111468	7.30734e+09
0.111580	1.29434e+10
0.111692	1.30565e+10
0.111804	1.26292e+10
0.111916	1.79825e+10
0.112028	1.75050e+10
0.112140	1.13801e+10
0.112253	1.10458e+10
0.112365	2.03073e+10
0.112478	2.50322e+10
0.112590	2.55851e+10
0.112703	2.12372e+10
0.112816	1.30313e+10
0.112929	9.42855e+09
0.113043	1.53310e+10
0.113156	2.30844e+10
0.113269	2.39264e+10
0.113383	2.09984e+10
0.113497	2.30719e+10
0.113610	2.85759e+10
0.113724	2.80104e+10
0.113838	1.99051e+10
0.113952	1.10383e+10
0.114067	1.16302e+10
0.114181	1.64745e+10
0.114296	1.69269e+10
0.114410	1.75552e+10
0.114525	2.28959e+10
0.114640	2.44290e+10
0.114755	2.32227e+10
0.114870	2.51579e+10
0.114985	2.68041e+10
0.115100	2.67287e+10
0.115215	2.50196e+10
0.115331	2.37630e+10
0.115447	2.49694e+10
0.115562	2.34991e+10
0.115678	1.75552e+10
0.115794	1.22158e+10
0.115910	1.40743e+10
0.116026	1.96412e+10
0.116143	2.15388e+10
0.116259	2.06214e+10
0.116376	1.77437e+10
0.116492	1.59467e+10
0.116609	1.47781e+10
0.116726	1.24269e+10
0.116843	1.06688e+10
0.116960	9.40970e+09
0.117077	8.19830e+09
0.117195	8.18699e+09
0.117312	8.21966e+09
0.117430	7.48579e+09
0.117548	6.61745e+09
0.117665	6.00170e+09
0.117783	5.59832e+09
0.117901	4.89083e+09
0.118020	3.91442e+09
0.118138	3.34391e+09
0.118256	3.04860e+09
0.118375	2.66407e+09
0.118494	2.37881e+09
0.118612	2.19409e+09
0.118731	1.96412e+09
0.118850	1.58211e+09
0.118970	1.24684e+09
0.119089	1.21831e+09
0.119208	1.17835e+09
0.119328	8.92338e+08
0.119447	8.55644e+08
0.119567	1.10333e+09
0.119687	1.15900e+09
0.119807	1.12544e+09
0.119927	1.08586e+09
0.120047	1.04351e+09
0.120168	1.07166e+09
0.120288	1.06651e+09
0.120409	9.97644e+08
0.120529	9.08046e+08
0.120650	8.13673e+08
0.120771	7.18419e+08
0.120892	6.11857e+08
0.121013	4.92853e+08
0.121135	3.64802e+08
0.121256	2.34614e+08
0.121378	1.20047e+08
0.121499	4.77145e+07
0.121621	4.50504e+07
0.121743	1.16490e+08
0.121865	2.38761e+08
0.121987	3.84782e+08
0.122110	5.37841e+08
0.122232	6.87506e+08
0.122355	8.25611e+08
0.122477	9.56678e+08
0.122600	1.08661e+09
0.122723	1.20687e+09
0.122846	1.32575e+09
0.122969	1.45267e+09
0.123092	1.58211e+09
0.123216	1.71531e+09
0.123339	1.83218e+09
0.123463	1.97166e+09
0.123587	2.11869e+09
0.123711	2.26949e+09
0.123835	2.41651e+09
0.123959	2.58365e+09
0.124083	2.83623e+09
0.124207	3.06619e+09
0.124332	3.38789e+09
0.124457	4.02501e+09
0.124581	4.77396e+09
0.124706	5.81320e+09
0.124831	7.62402e+09
0.124956	1.01411e+10
0.125082	1.40241e+10
0.125207	2.06214e+10
0.125333	2.80481e+10
0.125458	3.67943e+10
0.125584	4.59427e+10
0.125710	5.25400e+10
0.125836	5.19117e+10
0.125962	3.55880e+10
0.126088	2.62511e+10
0.126215	4.75134e+10
0.126341	5.58701e+10
0.126468	4.28639e+10
0.126595	6.81977e+10
0.126722	1.20599e+11
0.126849	1.67133e+11
0.126976	1.91511e+11
0.127103	1.94653e+11
0.127231	2.07094e+11
0.127358	2.21168e+11
0.127486	2.01188e+11
0.127614	1.77186e+11
0.127742	1.83469e+11
0.127870	2.19786e+11
0.127998	2.16142e+11
0.128126	2.93550e+11
0.128255	3.95338e+11
0.128383	4.37310e+11
0.128512	4.54651e+11
0.128641	4.18083e+11
0.128770	3.50099e+11
0.128899	3.35648e+11
0.129028	3.86039e+11
0.129157	4.35048e+11
0.129287	4.55405e+11
0.129416	4.48494e+11
0.129546	4.28765e+11
0.129676	4.55154e+11
0.129806	4.75763e+11
0.129936	4.63950e+11
0.130066	4.35425e+11
0.130197	3.20819e+11
0.130327	2.48563e+11
0.130458	1.75552e+11
0.130589	2.16770e+11
0.130720	3.72593e+11
0.130851	3.48717e+11
0.130982	2.78219e+11
0.131113	3.72342e+11
0.131245	5.21002e+11
0.131376	6.36361e+11
0.131508	6.36361e+11
0.131640	5.67749e+11
0.131772	6.03563e+11
0.131904	6.47671e+11
0.132036	6.93915e+11
0.132168	7.33373e+11
0.132301	6.84113e+11
0.132434	6.92533e+11
0.132566	7.41290e+11
0.132699	6.87883e+11
0.132832	6.21030e+11
0.132965	6.33219e+11
0.133099	7.29352e+11
0.133232	7.53857e+11
0.133366	6.01050e+11
0.133499	4.01119e+11
0.133633	4.85439e+11
0.133767	7.28598e+11
0.133901	8.36041e+11
0.134036	8.36292e+11
0.134170	8.49612e+11
0.134304	8.68588e+11
0.134439	8.41444e+11
0.134574	8.09777e+11
0.134709	8.13421e+11
0.134844	8.15934e+11
0.134979	8.04373e+11
0.135114	8.20333e+11
0.135250	8.23977e+11
0.135385	8.27998e+11
0.135521	8.21087e+11
0.135657	8.04876e+11
0.135793	7.93064e+11
0.135929	7.47950e+11
0.136065	7.55113e+11
0.136202	7.77607e+11
0.136338	7.56873e+11
0.136475	7.44558e+11
0.136612	7.57124e+11
0.136749	6.98188e+11
0.136886	6.78710e+11
0.137023	7.54359e+11
0.137160	8.31768e+11
0.137298	8.44586e+11
0.137436	8.10908e+11
0.137573	8.28375e+11
0.137711	8.75122e+11
0.137849	8.33653e+11
0.137988	7.66046e+11
0.138126	7.40285e+11
0.138264	7.76979e+11
0.138403	7.86655e+11
0.138542	7.90299e+11
0.138681	8.71352e+11
0.138820	9.23251e+11
0.138959	9.62835e+11
0.139098	9.34435e+11
0.139237	8.68462e+11
0.139377	8.96862e+11
0.139517	9.54793e+11
0.139657	9.27021e+11
0.139797	8.69467e+11
0.139937	8.59037e+11
0.140077	8.68211e+11
0.140218	8.82285e+11
0.140358	9.43860e+11
0.140499	9.74773e+11
0.140640	9.56804e+11
0.140781	9.24508e+11
0.140922	8.73111e+11
0.141063	8.26490e+11
0.141204	8.51497e+11
0.141346	8.51246e+11
0.141488	7.95451e+11
0.141630	8.15180e+11
0.141772	8.50366e+11
0.141914	8.71980e+11
0.142056	8.93343e+11
0.142198	9.24005e+11
0.142341	8.95731e+11
0.142484	8.72483e+11
0.142626	9.49012e+11
0.142769	9.65851e+11
0.142913	9.32048e+11
0.143056	8.33025e+11
0.143199	7.09497e+11
0.143343	7.12388e+11
0.143487	8.02488e+11
0.143630	9.08046e+11
0.143774	9.60196e+11
0.143918	9.61579e+11
0.144063	9.64092e+11
0.144207	9.40467e+11
0.144352	9.52405e+11
0.144496	9.95005e+11
0.144641	1.01411e+12
0.144786	1.00141e+12
0.144931	1.02315e+12
0.145077	1.03773e+12
0.145222	1.03798e+12
0.145368	1.02994e+12
0.145514	1.00983e+12
0.145659	1.02227e+12
0.145805	1.04200e+12
0.145952	1.04728e+12
0.146098	1.01323e+12
0.146244	9.53662e+11
0.146391	9.59819e+11
0.146538	9.73517e+11
0.146685	8.72106e+11
0.146832	8.31894e+11
0.146979	8.84170e+11
0.147126	9.18476e+11
0.147274	9.04904e+11
0.147421	8.57278e+11
0.147569	8.79772e+11
0.147717	9.22120e+11
0.147865	9.64595e+11
0.148013	9.64972e+11
0.148162	8.89448e+11
0.148310	8.71855e+11
0.148459	9.06538e+11
0.148608	9.74145e+11
0.148757	1.04841e+12
0.148906	1.08385e+12
0.149055	1.06136e+12
0.149205	9.46750e+11
0.149354	8.91584e+11
0.149504	9.86837e+11
0.149654	1.09654e+12
0.149804	1.13638e+12
0.149954	1.11527e+12
0.150104	1.08925e+12
0.150255	1.11250e+12
0.150405	1.14140e+12
0.150556	1.11175e+12
0.150707	1.04364e+12
0.150858	9.68365e+11
0.151010	9.41096e+11
0.151161	9.40970e+11
0.151312	9.65474e+11
0.151464	9.75025e+11
0.151616	1.02026e+12
0.151768	1.10936e+12
0.151920	1.11489e+12
0.152072	1.09378e+12
0.152225	1.09390e+12
0.152378	1.07116e+12
0.152530	9.36697e+11
0.152683	8.15809e+11
0.152836	9.55170e+11
